play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
romeo-and-juliet,Romeo and Juliet,prologue,0,1,1,1,stage_direction,,,Enter CHORUS,0.0,0.0275
romeo-and-juliet,Romeo and Juliet,prologue,0,1,1,2,speech,CHORUS,CHORUS,"Two households, both alike in dignity
In fair Verona, where we lay our scene,
From ancient grudge break to new mutiny,
Where civil blood makes civil hands unclean.
From forth the fatal loins of these two foes
A pair of star-crossed lovers take their life,
Whose misadventured piteous overthrows
Doth with their death bury their parents' strife.
The fearful passage of their death-marked love
And the continuance of their parents' rage—
Which but their children's end, naught could remove—
Is now the two-hours' traffic of our stage;
The which if you with patient ears attend,
What here shall miss, our toil shall strive to mend.",-0.8316,-0.39875
romeo-and-juliet,Romeo and Juliet,prologue,0,1,1,3,stage_direction,,,Exits,0.0,0.01617
romeo-and-juliet,Romeo and Juliet,main,1,1,2,4,stage_direction,,,"Enter SAMPSON and GREGORY of the house of Capulet, with swords and bucklers",0.0,0.06646
romeo-and-juliet,Romeo and Juliet,main,1,1,2,5,speech,SAMPSON,SAMPSON,"Gregory, on my word, we’ll not carry coals.",-0.4215,-0.55959
romeo-and-juliet,Romeo and Juliet,main,1,1,2,6,speech,GREGORY,GREGORY,"No, for then we should be colliers.",-0.4215,-0.29685
romeo-and-juliet,Romeo and Juliet,main,1,1,2,7,speech,SAMPSON,SAMPSON,"I mean, an we be in choler, we’ll draw.",-0.5106,0.05432
romeo-and-juliet,Romeo and Juliet,main,1,1,2,8,speech,GREGORY,GREGORY,"Ay, while you live, draw your neck out of collar.",0.0,-0.13044
romeo-and-juliet,Romeo and Juliet,main,1,1,2,9,speech,SAMPSON,SAMPSON,"I strike quickly, being moved.",0.3818,-0.43113
romeo-and-juliet,Romeo and Juliet,main,1,1,2,10,speech,GREGORY,GREGORY,But thou art not quickly moved to strike.,-0.4215,-0.42691
romeo-and-juliet,Romeo and Juliet,main,1,1,2,11,speech,SAMPSON,SAMPSON,A dog of the house of Montague moves me.,0.3818,0.3999
romeo-and-juliet,Romeo and Juliet,main,1,1,2,12,speech,GREGORY,GREGORY,"To move is to stir, and to be valiant is to stand.
Therefore if thou art moved thou runn’st away.",0.5267,-0.10957
romeo-and-juliet,Romeo and Juliet,main,1,1,2,13,speech,SAMPSON,SAMPSON,"A dog of that house shall move me to stand. I will take
the wall of any man or maid of Montague’s.",0.0,0.00571
romeo-and-juliet,Romeo and Juliet,main,1,1,2,14,speech,GREGORY,GREGORY,"That shows thee a weak slave, for the weakest goes to
the wall.",-0.6369,-0.51562
romeo-and-juliet,Romeo and Juliet,main,1,1,2,15,speech,SAMPSON,SAMPSON,"‘Tis true, and therefore women, being the weaker
vessels, are ever thrust to the wall. Therefore I will
push Montague’s men from the wall, and thrust his maids
to the wall.",-0.0258,-0.33001
romeo-and-juliet,Romeo and Juliet,main,1,1,2,16,speech,GREGORY,GREGORY,The quarrel is between our masters and us their men.,-0.34,0.02593
romeo-and-juliet,Romeo and Juliet,main,1,1,2,17,speech,SAMPSON,SAMPSON,"‘Tis all one. I will show myself a tyrant. When I have
fought with the men, I will be civil with the maids. I
will cut off their heads.",-0.2023,0.00355
romeo-and-juliet,Romeo and Juliet,main,1,1,2,18,speech,GREGORY,GREGORY,The heads of the maids?,-0.2732,-0.03728
romeo-and-juliet,Romeo and Juliet,main,1,1,2,19,speech,SAMPSON,SAMPSON,"Ay, the heads of the maids, or their maidenheads.
Take it in what sense thou wilt.",0.0,0.07323
romeo-and-juliet,Romeo and Juliet,main,1,1,2,20,speech,GREGORY,GREGORY,They must take it in sense that feel it.,-0.886,0.01166
romeo-and-juliet,Romeo and Juliet,main,1,1,2,21,speech,SAMPSON,SAMPSON,"Me they shall feel while I am able to stand, and
’tis known I am a pretty piece of flesh.",0.0,0.56829
romeo-and-juliet,Romeo and Juliet,main,1,1,2,22,speech,GREGORY,GREGORY,"‘Tis well thou art not fish. If thou hadst, thou hadst
been poor-john.
Draw thy tool! Here comes of the house of Montagues.",0.69,0.40098
romeo-and-juliet,Romeo and Juliet,main,1,1,2,23,stage_direction,,,Enter ABRAHAM and another servingman,0.0,0.23702
romeo-and-juliet,Romeo and Juliet,main,1,1,2,24,speech,SAMPSON,SAMPSON,My naked weapon is out. Quarrel! I will back thee.,-0.4389,0.63006
romeo-and-juliet,Romeo and Juliet,main,1,1,2,25,speech,GREGORY,GREGORY,How? Turn thy back and run?,0.0,-0.03877
romeo-and-juliet,Romeo and Juliet,main,1,1,2,26,speech,SAMPSON,SAMPSON,Fear me not.,-0.4404,-0.54225
romeo-and-juliet,Romeo and Juliet,main,1,1,2,27,speech,GREGORY,GREGORY,"No, marry. I fear thee.",-0.4404,-0.01534
romeo-and-juliet,Romeo and Juliet,main,1,1,2,28,speech,SAMPSON,SAMPSON,Let us take the law of our sides. Let them begin.,-0.0772,0.00486
romeo-and-juliet,Romeo and Juliet,main,1,1,2,29,speech,GREGORY,GREGORY,"I will frown as I pass by, and let them take it as
they list.",0.0,-0.20254
romeo-and-juliet,Romeo and Juliet,main,1,1,2,30,speech,SAMPSON,SAMPSON,"Nay, as they dare. I will bite my thumb at them, which
is a disgrace to them, if they bear it. [He bites his
thumb]",-0.743,-0.79716
romeo-and-juliet,Romeo and Juliet,main,1,1,2,31,speech,ABRAHAM,ABRAHAM,"Do you bite your thumb at us, sir?",0.0,-0.12136
romeo-and-juliet,Romeo and Juliet,main,1,1,2,32,speech,SAMPSON,SAMPSON,"I do bite my thumb, sir.",0.0,-0.53611
romeo-and-juliet,Romeo and Juliet,main,1,1,2,33,speech,ABRAHAM,ABRAHAM,"Do you bite your thumb at us, sir?",0.0,-0.26192
romeo-and-juliet,Romeo and Juliet,main,1,1,2,34,speech,SAMPSON,SAMPSON,"[Aside to GREGORY]
Is the law of our side if I say “ay”?",0.4019,-0.04832
romeo-and-juliet,Romeo and Juliet,main,1,1,2,35,speech,GREGORY,GREGORY,"[Aside to SAMPSON]
No.",0.0,-0.22402
romeo-and-juliet,Romeo and Juliet,main,1,1,2,36,speech,SAMPSON,SAMPSON,"No, sir. I do not bite my thumb at you, sir, but I bite
my thumb, sir.",0.0,-0.51359
romeo-and-juliet,Romeo and Juliet,main,1,1,2,37,speech,GREGORY,GREGORY,"Do you quarrel, sir?",-0.3182,-0.08446
romeo-and-juliet,Romeo and Juliet,main,1,1,2,38,speech,ABRAHAM,ABRAHAM,"Quarrel, sir? No, sir.",-0.3818,-0.22016
romeo-and-juliet,Romeo and Juliet,main,1,1,2,39,speech,SAMPSON,SAMPSON,"But if you do, sir, I am for you. I serve as good a man
as you.",0.1531,0.50184
romeo-and-juliet,Romeo and Juliet,main,1,1,2,40,speech,ABRAHAM,ABRAHAM,No better.,-0.4782,-0.439
romeo-and-juliet,Romeo and Juliet,main,1,1,2,41,speech,SAMPSON,SAMPSON,"Well, sir.",0.3384,0.31336
romeo-and-juliet,Romeo and Juliet,main,1,1,2,42,stage_direction,,,Enter BENVOLIO,0.0,0.01278
romeo-and-juliet,Romeo and Juliet,main,1,1,2,43,speech,GREGORY,GREGORY,"[Aside to SAMPSON] Say “better.” Here comes one of my
master’s kinsmen.",0.0,0.71416
romeo-and-juliet,Romeo and Juliet,main,1,1,2,44,speech,SAMPSON,SAMPSON,"[To ABRAHAM] Yes, better, sir.",0.6808,0.71413
romeo-and-juliet,Romeo and Juliet,main,1,1,2,45,speech,ABRAHAM,ABRAHAM,You lie.,-0.5106,0.01298
romeo-and-juliet,Romeo and Juliet,main,1,1,2,46,speech,SAMPSON,SAMPSON,"Draw, if you be men.—Gregory, remember thy washing
blow.",0.1027,0.01314
romeo-and-juliet,Romeo and Juliet,main,1,1,2,47,stage_direction,,,They fight.,-0.3818,0.10422
romeo-and-juliet,Romeo and Juliet,main,1,1,2,48,speech,BENVOLIO,BENVOLIO,"[Draws his sword] Part, fools!
Put up your swords. You know not what you do.",-0.5411,0.41545
romeo-and-juliet,Romeo and Juliet,main,1,1,2,49,stage_direction,,,Enter TYBALT,0.0,0.0136
romeo-and-juliet,Romeo and Juliet,main,1,1,2,50,speech,TYBALT,TYBALT,"What, art thou drawn among these heartless hinds?
Turn thee, Benvolio. Look upon thy death.",-0.8074,-0.02894
romeo-and-juliet,Romeo and Juliet,main,1,1,2,51,speech,BENVOLIO,BENVOLIO,"I do but keep the peace. Put up thy sword,
Or manage it to part these men with me.",0.2789,-0.12062
romeo-and-juliet,Romeo and Juliet,main,1,1,2,52,speech,TYBALT,TYBALT,"What, drawn, and talk of peace? I hate the word,
As I hate hell, all Montagues, and thee.
Have at thee, coward!",-0.9577,-0.61852
romeo-and-juliet,Romeo and Juliet,main,1,1,2,53,stage_direction,,,"They fight. Enter three or four CITIZENS, with clubs or partisans",-0.3818,0.10999
romeo-and-juliet,Romeo and Juliet,main,1,1,2,54,speech,CITIZENS,CITIZENS,"Clubs, bills, and partisans! Strike! Beat them down!
Down with the Capulets! Down with the Montagues!",0.0,0.51342
romeo-and-juliet,Romeo and Juliet,main,1,1,2,55,stage_direction,,,"Enter old CAPULET in his gown, and his wife, LADY CAPULET",0.0,0.19148
romeo-and-juliet,Romeo and Juliet,main,1,1,2,56,speech,CAPULET,CAPULET,"What noise is this? Give me my long sword, ho!",0.0,0.12616
romeo-and-juliet,Romeo and Juliet,main,1,1,2,57,speech,LADY CAPULET,LADY CAPULET,"A crutch, a crutch! Why call you for a sword?",0.0,-0.17468
romeo-and-juliet,Romeo and Juliet,main,1,1,2,58,stage_direction,,,"Enter old MONTAGUE and his wife, LADY MONTAGUE",0.0,0.10139
romeo-and-juliet,Romeo and Juliet,main,1,1,2,59,speech,CAPULET,CAPULET,"My sword, I say! Old Montague is come,
And flourishes his blade in spite of me.",-0.5707,0.62239
romeo-and-juliet,Romeo and Juliet,main,1,1,2,60,speech,MONTAGUE,MONTAGUE,Thou villain Capulet! Hold me not. Let me go.,-0.7263,0.23188
romeo-and-juliet,Romeo and Juliet,main,1,1,2,61,speech,LADY MONTAGUE,LADY MONTAGUE,Thou shalt not stir one foot to seek a foe.,-0.7269,-0.46063
romeo-and-juliet,Romeo and Juliet,main,1,1,2,62,stage_direction,,,"Enter PRINCE ESCALUS, with his train",0.0,0.04456
romeo-and-juliet,Romeo and Juliet,main,1,1,2,63,speech,PRINCE,PRINCE,"Rebellious subjects, enemies to peace,
Profaners of this neighbor-stainèd steel!—
Will they not hear? —What, ho! You men, you beasts,
That quench the fire of your pernicious rage
With purple fountains issuing from your veins,
On pain of torture, from those bloody hands
Throw your mistempered weapons to the ground,
And hear the sentence of your movèd prince.
Three civil brawls, bred of an airy word,
By thee, old Capulet, and Montague,
Have thrice disturbed the quiet of our streets
And made Verona’s ancient Citizens
Cast by their grave-beseeming ornaments,
To wield old partisans in hands as old,
Cankered with peace, to part your cankered hate.
If ever you disturb our streets again,
Your lives shall pay the forfeit of the peace.
For this time, all the rest depart away.
You, Capulet, shall go along with me,
And, Montague, come you this afternoon
To know our farther pleasure in this case,
To old Free-town, our common judgment-place.
Once more, on pain of death, all men depart.",-0.9902,-0.22105
romeo-and-juliet,Romeo and Juliet,main,1,1,2,64,stage_direction,,,"Exeunt all but MONTAGUE, LADY MONTAGUE, and BENVOLIO",0.0,-0.03116
romeo-and-juliet,Romeo and Juliet,main,1,1,2,65,speech,MONTAGUE,MONTAGUE,"Who set this ancient quarrel new abroach?
Speak, nephew. Were you by when it began?",-0.6553,-0.07976
