play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,1,stage_direction,,,Enter SLY and HOSTESS,0.0,0.04962
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,2,speech,SLY,SLY,"I’ll pheeze you, in faith.",0.3182,0.34518
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,3,speech,HOSTESS,HOSTESS,"A pair of stocks, you rogue!",-0.5983,0.49115
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,4,speech,SLY,SLY,"Y'are a baggage, the Slys are no rogues. Look in the
chronicles—we came in with Richard Conqueror. Therefore
paucas pallabris : let the world slide. Sessa!",0.7469,0.53299
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,5,speech,HOSTESS,HOSTESS,You will not pay for the glasses you have burst?,-0.4222,-0.37124
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,6,speech,SLY,SLY,"No, not a denier. Go by, Saint Jeronimy. Go to thy cold
bed and warm thee.",0.4707,-0.71086
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,7,speech,HOSTESS,HOSTESS,I know my remedy. I must go fetch the thirdborough.,0.0,0.13926
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,8,stage_direction,,,Exit,0.0,0.02538
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,9,speech,SLY,SLY,"Third, or fourth, or fifth borough, I’ll answer him by
law.
I’ll not budge an inch, boy. Let him come, and kindly.",0.5093,0.61816
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,10,stage_direction,,,Falls asleep,0.0,-0.60963
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,11,stage_direction,,,"Wind horns Enter a LORD from hunting, with his train",0.0,-0.00695
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,12,speech,LORD,LORD,"Huntsman, I charge thee, tender well my hounds.
Breathe Merriman, the poor cur is embossed,
And couple Clowder with the deep-mouthed brach.
Saw’st thou not, boy, how Silver made it good
At the hedge corner, in the coldest fault?
I would not lose the dog for twenty pound.",-0.7351,-0.60531
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,13,speech,FIRST HUNTSMAN,FIRST HUNTSMAN,"Why, Belman is as good as he, my lord.
He cried upon it at the merest loss,
And twice today picked out the dullest scent.
Trust me, I take him for the better dog.",0.5423,-0.66495
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,14,speech,LORD,LORD,"Thou art a fool. If Echo were as fleet,
I would esteem him worth a dozen such.
But sup them well and look unto them all.
Tomorrow I intend to hunt again.",0.2846,-0.09594
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,15,speech,FIRST HUNTSMAN,FIRST HUNTSMAN,"I will, my lord.",0.0,0.76891
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,16,speech,LORD,LORD,"What’s here? One dead, or drunk? See, doth he breathe?",-0.7941,-0.02179
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,17,speech,SECOND HUNTSMAN,SECOND HUNTSMAN,"He breathes, my lord. Were he not warmed with ale,
This were a bed but cold to sleep so soundly.",-0.2498,-0.80451
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,18,speech,LORD,LORD,"O monstrous beast, how like a swine he lies!
Grim death, how foul and loathsome is thine image!
Sirs, I will practice on this drunken man.
What think you: if he were conveyed to bed,
Wrapped in sweet clothes, rings put upon his fingers,
A most delicious banquet by his bed,
And brave attendants near him when he wakes,
Would not the beggar then forget himself?",-0.8118,-0.60274
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,19,speech,FIRST HUNTSMAN,FIRST HUNTSMAN,"Believe me, lord, I think he cannot choose.",0.0,-0.73878
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,20,speech,SECOND HUNTSMAN,SECOND HUNTSMAN,It would seem strange unto him when he waked.,-0.2023,-0.34859
