play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,1,stage_direction,,,"Enter the KING, Lord John of LANCASTER, Earl of WESTMORELAND, with others",0.0,0.98396,0.17923
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,2,speech,KING,KING,"So shaken as we are, so wan with care,
Find we a time for frighted peace to pant
And breathe short-winded accents of new broils
To be commenced in strands afar remote.
No more the thirsty entrance of this soil
Shall daub her lips with her own children’s blood.
Nor more shall trenching war channel her fields,
Nor bruise her flow’rets with the armed hoofs
Of hostile paces. Those opposèd eyes,
Which, like the meteors of a troubled heaven,
All of one nature, of one substance bred,
Did lately meet in the intestine shock
And furious close of civil butchery
Shall now, in mutual well-beseeming ranks,
March all one way and be no more opposed
Against acquaintance, kindred, and allies.
The edge of war, like an ill-sheathèd knife,
No more shall cut his master. Therefore, friends,
As far as to the sepulcher of Christ—
Whose soldier now, under whose blessed cross
We are impressèd and engaged to fight—
Forthwith a power of English shall we levy,
Whose arms were molded in their mothers' womb
To chase these pagans in those holy fields
Over whose acres walked those blessèd feet
Which fourteen hundred years ago were nailed
For our advantage on the bitter cross.
But this our purpose now is twelve month old,
And bootless ’tis to tell you we will go.
Therefor we meet not now. Then let me hear
Of you, my gentle cousin Westmoreland,
What yesternight our council did decree
In forwarding this dear expedience.",-0.8739,0.99494,-0.32143
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,3,speech,WESTMORELAND,WESTMORELAND,"My liege, this haste was hot in question,
And many limits of the charge set down
But yesternight: when all athwart there came
A post from Wales loaden with heavy news,
Whose worst was that the noble Mortimer,
Leading the men of Herefordshire to fight
Against the irregular and wild Glendower,
Was by the rude hands of that Welshman taken,
A thousand of his people butcherèd,
Upon whose dead corpse there was such misuse,
Such beastly shameless transformation
By those Welshwomen done, as may not be
Without much shame retold or spoken of.",-0.9693,-0.9785,-0.80915
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,4,speech,KING,KING,"It seems then that the tidings of this broil
Brake off our business for the Holy Land.",-0.7027,-0.99745,-0.23365
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,5,speech,WESTMORELAND,WESTMORELAND,"This matched with other did, my gracious lord.
For more uneven and unwelcome news
Came from the north and thus it did import:
On Holy-rood Day, the gallant Hotspur there,
Young Harry Percy, and brave Archibald,
That ever valiant and approvèd Scot,
At Holmedon met, where they did spend
A sad and bloody hour—
As by discharge of their artillery
And shape of likelihood the news was told;
For he that brought them, in the very heat
And pride of their contention did take horse,
Uncertain of the issue any way.",-0.5499,-0.98456,-0.75384
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,6,speech,KING,KING,"Here is a dear, a true-industrious friend,
Sir Walter Blunt, new lighted from his horse.
Stained with the variation of each soil
Betwixt that Holmedon and this seat of ours,
And he hath brought us smooth and welcome news.
The Earl of Douglas is discomfited;
Ten thousand bold Scots, two-and-twenty knights,
Balked in their own blood, did Sir Walter see
On Holmedon’s plains . Of prisoners Hotspur took
Mordake, Earl of Fife, and eldest son
To beaten Douglas, and the Earl of Atholl,
Of Murray, Angus, and Menteith.
And is not this an honorable spoil?
A gallant prize? Ha, cousin, is it not?",0.8398,0.99602,0.31698
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,7,speech,WESTMORELAND,WESTMORELAND,"In faith, it is a conquest for a prince to boast of.",0.34,0.99645,0.26997
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,8,speech,KING,KING,"Yea, there thou mak’st me sad, and mak’st me sin
In envy that my Lord Northumberland
Should be the father to so blest a son,
A son who is the theme of Honor’s tongue,
Amongst a grove the very straightest plant,
Who is sweet Fortune’s minion and her pride;
Whilst I, by looking on the praise of him,
See riot and dishonor stain the brow
Of my young Harry. O, that it could be proved
That some night-tripping fairy had exchanged
In cradle-clothes our children where they lay,
And called mine “Percy,” his “Plantagenet”!
Then would I have his Harry, and he mine.
But let him from my thoughts. What think you, coz,
Of this young Percy’s pride? The prisoners,
Which he in this adventure hath surprised
To his own use he keeps, and sends me word
I shall have none but Mordake, Earl of Fife.",-0.6341,-0.74796,-0.23937
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,9,speech,WESTMORELAND,WESTMORELAND,"This is his uncle’s teaching. This is Worcester,
Malevolent to you in all aspects,
Which makes him prune himself, and bristle up
The crest of youth against your dignity.",0.6369,-0.99828,0.62766
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,10,speech,KING,KING,"But I have sent for him to answer this.
And for this cause awhile we must neglect
Our holy purpose to Jerusalem.
Cousin, on Wednesday next our council we
Will hold at Windsor. So inform the lords.
But come yourself with speed to us again,
For more is to be said and to be done
Than out of anger can be utterèd.",-0.5362,-0.99448,-0.18202
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,11,speech,WESTMORELAND,WESTMORELAND,"I will, my liege.",0.0,0.98293,0.55279
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1,12,stage_direction,,,Exeunt,0.0,-0.98874,-0.13698
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,13,stage_direction,,,"Enter HENRY, PRINCE of Wales, and Sir John FALSTAFF",0.0,0.98528,0.20337
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,14,speech,FALSTAFF,FALSTAFF,"Now, Hal, what time of day is it, lad?",0.0,0.90385,0.08565
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,15,speech,PRINCE HENRY,PRINCE HENRY,"Thou art so fat-witted with drinking of old sack, and
unbuttoning thee after supper, and sleeping upon benches
after noon, that thou hast forgotten to demand that
truly which thou wouldst truly know. What a devil hast
thou to do with the time of the day? Unless hours were
cups of sack, and minutes capons, and clocks the tongues
of bawds, and dials the signs of leaping-houses, and
the blessed sun himself a fair hot wench in
flame-colored taffeta, I see no reason why thou shouldst
be so superfluous to demand the time of the day.",-0.6197,-0.999,-0.47876
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,16,speech,FALSTAFF,FALSTAFF,"Indeed, you come near me now, Hal, f or we that take
purses go by the moon and the seven stars, and not by
Phoebus, he, that wand'ring knight so fair. And I
prithee, sweet wag, when thou art king, as God save thy
Grace—Majesty, I should say, for grace thou wilt have
none—",-0.2448,-0.99561,0.57401
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,17,speech,PRINCE HENRY,PRINCE HENRY,"What, none?",0.0,-0.99851,-0.2466
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,18,speech,FALSTAFF,FALSTAFF,"No, by my troth, not so much as will serve to be
prologue to an egg and butter.",0.296,-0.99899,-0.54538
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,19,speech,PRINCE HENRY,PRINCE HENRY,"Well, how then? Come, roundly, roundly.",0.0,-0.99889,-0.01143
henry-iv-part-1,"Henry IV, Part 1",main,1,2,2,20,speech,FALSTAFF,FALSTAFF,"Marry, then, sweet wag, when thou art king, let not us
that are squires of the night’s body be called thieves
of the day’s beauty. Let us be Diana’s foresters,
gentlemen of the shade, minions of the moon, and let men
say we be men of good government, being governed, as
the sea is, by our noble and chaste mistress the moon,
under whose countenance we steal.",0.6908,0.58137,-0.41087
