play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
king-lear,King Lear,main,1,1,1,1,stage_direction,,,"Enter KENT, GLOUCESTER, and EDMUND",0.0,0.97745,0.06359
king-lear,King Lear,main,1,1,1,2,speech,KENT,KENT,"I thought the king had more affected the Duke of Albany
than Cornwall.",0.4215,0.98237,0.10899
king-lear,King Lear,main,1,1,1,3,speech,GLOUCESTER,GLOUCESTER,"It did always seem so to us. But now in the division of
the kingdom, it appears not which of the dukes he
values most, for equalities are so weighed that
curiosity in neither can make choice of either’s moiety.",0.0,-0.98731,-0.49805
king-lear,King Lear,main,1,1,1,4,speech,KENT,KENT,"[indicating EDMUND ] Is not this your son, my lord?",0.0,-0.98812,0.17356
king-lear,King Lear,main,1,1,1,5,speech,GLOUCESTER,GLOUCESTER,"His breeding, sir, hath been at my charge. I have so
often blushed to acknowledge him that now I am brazed to
it.",0.128,0.99565,0.39411
king-lear,King Lear,main,1,1,1,6,speech,KENT,KENT,I cannot conceive you.,0.0,-0.99897,-0.3279
king-lear,King Lear,main,1,1,1,7,speech,GLOUCESTER,GLOUCESTER,"Sir, this young fellow’s mother could, whereupon she
grew round-wombed, and had indeed, sir, a son for her
cradle ere she had a husband for her bed. Do you smell a
fault?",-0.0258,0.97046,-0.38496
king-lear,King Lear,main,1,1,1,8,speech,KENT,KENT,"I cannot wish the fault undone, the issue of it being
so proper.",-0.2539,0.99325,0.37832
king-lear,King Lear,main,1,1,1,9,speech,GLOUCESTER,GLOUCESTER,"But I have, sir, a son by order of law, some year older
than this, who yet is no dearer in my account. Though
this knave came something saucily to the world before he
was sent for, yet was his mother fair, there was good
sport at his making, and the whoreson must be
acknowledged.— Do you know this noble gentleman, Edmund?",0.8106,0.98915,-0.43737
king-lear,King Lear,main,1,1,1,10,speech,EDMUND,EDMUND,"No, my lord.",0.0,-0.99148,-0.58973
king-lear,King Lear,main,1,1,1,11,speech,GLOUCESTER,GLOUCESTER,"My lord of Kent. Remember him hereafter as my
honorable friend.",0.7717,0.99552,0.74066
king-lear,King Lear,main,1,1,1,12,speech,EDMUND,EDMUND,My services to your lordship.,0.0,0.98496,0.64219
king-lear,King Lear,main,1,1,1,13,speech,KENT,KENT,I must love you and sue to know you better.,0.7184,0.99745,0.00419
king-lear,King Lear,main,1,1,1,14,speech,EDMUND,EDMUND,"Sir, I shall study deserving.",0.4767,0.98004,-0.0681
king-lear,King Lear,main,1,1,1,15,speech,GLOUCESTER,GLOUCESTER,"He hath been out nine years, and away he shall again.",0.0,0.99681,-0.21332
king-lear,King Lear,main,1,1,1,16,stage_direction,,,Sennet.,0.0,0.99167,0.01032
king-lear,King Lear,main,1,1,1,17,speech,GLOUCESTER,GLOUCESTER,A trumpet call announces the arrival of the king.,0.0,-0.91186,0.4362
king-lear,King Lear,main,1,1,1,18,stage_direction,,,"Enter one bearing a coronet, then King LEAR, then the Dukes of CORNWALL and ALBANY, next GONERIL, REGAN, CORDELIA, and attendants",0.0,0.98652,0.00954
king-lear,King Lear,main,1,1,1,19,speech,LEAR,LEAR,"Attend the lords of France and Burgundy, Gloucester.",0.0,0.98948,0.09382
king-lear,King Lear,main,1,1,1,20,speech,GLOUCESTER,GLOUCESTER,"I shall, my lord.",0.0,0.97135,0.76891
king-lear,King Lear,main,1,1,1,21,stage_direction,,,Exit GLOUCESTER,0.0,-0.99347,0.02384
king-lear,King Lear,main,1,1,1,22,speech,LEAR,LEAR,"Meantime we shall express our darker purpose.—
Give me the map there.— Know that we have divided
In three our kingdom, and ’tis our fast intent
To shake all cares and business from our age,
Conferring them on younger strengths while we
Unburdened crawl toward death.— Our son of Cornwall,
And you, our no less loving son of Albany,
We have this hour a constant will to publish
Our daughters' several dowers, that future strife
May be prevented now.
The two great princes, France and Burgundy,
Great rivals in our youngest daughter’s love,
Long in our court have made their amorous sojourn,
And here are to be answered.— Tell me, my daughters,
(Since now we will divest us both of rule,
Interest of territory, cares of state)
Which of you shall we say doth love us most
That we our largest bounty may extend
Where nature doth with merit challenge?— G oneril,
Our eldest born, speak first.",0.8678,0.98884,0.58768
king-lear,King Lear,main,1,1,1,23,speech,GONERIL,GONERIL,"Sir, I do love you more than words can wield the
matter,
Dearer than eyesight, space, and liberty,
Beyond what can be valued, rich or rare,
No less than life, with grace, health, beauty, honor,
As much as child e'er loved or father found—
A love that makes breath poor and speech unable.
Beyond all manner of so much I love you.",0.9943,0.99607,-0.60802
king-lear,King Lear,main,1,1,1,24,speech,CORDELIA,CORDELIA,"[Aside] What shall Cordelia speak? Love, and be
silent.",0.6369,-0.90231,-0.66794
king-lear,King Lear,main,1,1,1,25,speech,LEAR,LEAR,"Of all these bounds, even from this line to this,
With shadowy forests and with champains riched,
With plenteous rivers and wide-skirted meads,
We make thee lady. To thine and Albany’s issue
Be this perpetual.—What says our second daughter,
Our dearest Regan, wife of Cornwall? Speak.",0.3818,0.99351,0.4867
king-lear,King Lear,main,1,1,1,26,speech,REGAN,REGAN,"Sir, I am made of that self mettle as my sister,
And prize me at her worth. In my true heart,
I find she names my very deed of love—
Only she comes too short, that I profess
Myself an enemy to all other joys,
Which the most precious square of sense possesses.
And find I am alone felicitate
In your dear highness' love.",0.98,0.99474,-0.30489
king-lear,King Lear,main,1,1,1,27,speech,CORDELIA,CORDELIA,"[Aside] Then poor Cordelia!
And yet not so, since I am sure my love’s
More ponderous than my tongue.",0.7869,0.99443,-0.50976
king-lear,King Lear,main,1,1,1,28,speech,LEAR,LEAR,"To thee and thine hereditary ever
Remain this ample third of our fair kingdom,
No less in space, validity, and pleasure
Than that conferred on Goneril.— But now, our joy,
Although our last and least, to whose young love
The vines of France and milk of Burgundy
Strive to be interessed. What can you say to draw
A third more opulent than your sisters? Speak.",0.7473,0.98902,0.66009
king-lear,King Lear,main,1,1,1,29,speech,CORDELIA,CORDELIA,"Nothing, my lord.",0.0,-0.99829,-0.72361
king-lear,King Lear,main,1,1,1,30,speech,LEAR,LEAR,Nothing?,0.0,-0.9988,-0.30371
king-lear,King Lear,main,1,1,1,31,speech,CORDELIA,CORDELIA,Nothing.,0.0,-0.99874,-0.56545
king-lear,King Lear,main,1,1,1,32,speech,LEAR,LEAR,How? Nothing will come of nothing. Speak again.,0.0,-0.99887,-0.33799
king-lear,King Lear,main,1,1,1,33,speech,CORDELIA,CORDELIA,"Unhappy that I am, I cannot heave
My heart into my mouth. I love your majesty
According to my bond, no more nor less.",0.6929,-0.01278,0.18742
king-lear,King Lear,main,1,1,1,34,speech,LEAR,LEAR,"How, how, Cordelia? Mend your speech a little,
Lest you may mar your fortunes.",-0.4939,-0.99888,-0.318
king-lear,King Lear,main,1,1,1,35,speech,CORDELIA,CORDELIA,"Good my lord,
You have begot me, bred me, loved me. I
Return those duties back as are right fit—
Obey you, love you, and most honor you.
Why have my sisters husbands if they say
They love you all? Haply when I shall wed
That lord whose hand must take my plight shall carry
Half my love with him, half my care and duty.
Sure, I shall never marry like my sisters,
To love my father all.",0.9841,0.99451,0.46356
king-lear,King Lear,main,1,1,1,36,speech,LEAR,LEAR,But goes thy heart with this?,0.0,-0.99575,-0.32396
king-lear,King Lear,main,1,1,1,37,speech,CORDELIA,CORDELIA,"Ay, good my lord.",0.6808,0.98122,0.64184
king-lear,King Lear,main,1,1,1,38,speech,LEAR,LEAR,So young and so untender?,-0.6269,-0.99642,-0.69997
king-lear,King Lear,main,1,1,1,39,speech,CORDELIA,CORDELIA,"So young, my lord, and true.",0.5106,0.99694,0.83572
king-lear,King Lear,main,1,1,1,40,speech,LEAR,LEAR,"Let it be so. Thy truth then be thy dower.
For by the sacred radiance of the sun,
The mysteries of Hecate and the night,
By all the operation of the orbs
From whom we do exist and cease to be—
Here I disclaim all my paternal care,
Propinquity, and property of blood,
And as a stranger to my heart and me
Hold thee from this for ever. The barbarous Scythian,
Or he that makes his generation messes
To gorge his appetite, shall to my bosom
Be as well neighbored, pitied, and relieved
As thou my sometime daughter.",0.3612,-0.99039,0.85928
king-lear,King Lear,main,1,1,1,41,speech,KENT,KENT,Good my liege—,0.0,0.27163,-0.00945
king-lear,King Lear,main,1,1,1,42,speech,LEAR,LEAR,"Peace, Kent.
Come not between the dragon and his wrath.
I loved her most and thought to set my rest
On her kind nursery. [To CORDELIA] Hence, and avoid my
sight!—
So be my grave my peace as here I give
Her father’s heart from her.— Call France. Who stirs?
Call Burgundy.—",0.902,-0.98907,-0.2785
king-lear,King Lear,main,1,1,1,43,stage_direction,,,Exeunt several attendants,0.0,-0.99868,-0.28212
king-lear,King Lear,main,1,1,1,44,speech,LEAR,LEAR,"Cornwall and Albany,
With my two daughters' dowers digest this third.
Let pride, which she calls plainness, marry her.
I do invest you jointly with my power,
Preeminence, and all the large effects
That troop with majesty. Ourself, by monthly course,
With reservation of an hundred knights
By you to be sustained, shall our abode
Make with you by due turns. Only shall we retain
The name, and all th' additions to a king.
The sway, revenue, execution of the rest,
Belovèd sons, be yours; which to confirm,
This coronet part between you.
[Gives CORNWALL and ALBANY the coronet]",0.9186,0.99054,0.49157
king-lear,King Lear,main,1,1,1,45,speech,KENT,KENT,"Royal Lear,
Whom I have ever honored as my king,
Loved as my father, as my master followed,
As my great patron thought on in my prayers—",0.891,0.99682,0.80668
king-lear,King Lear,main,1,1,1,46,speech,LEAR,LEAR,The bow is bent and drawn. Make from the shaft.,0.0,-0.99614,0.00342
king-lear,King Lear,main,1,1,1,47,speech,KENT,KENT,"Let it fall rather, though the fork invade
The region of my heart. Be Kent unmannerly
When Lear is mad. What wouldst thou do, old man?
Think’st thou that duty shall have dread to speak
When power to flattery bows? To plainness honor’s bound
When majesty falls to folly. Reserve thy state,
And in thy best consideration check
This hideous rashness. Answer my life my judgment,
Thy youngest daughter does not love thee least,
Nor are those empty-hearted whose low sound
Reverbs no hollowness.",-0.908,-0.99815,-0.84261
king-lear,King Lear,main,1,1,1,48,speech,LEAR,LEAR,"Kent, on thy life, no more.",0.34,-0.99281,-0.18174
king-lear,King Lear,main,1,1,1,49,speech,KENT,KENT,"My life I never held but as a pawn
To wage against thy enemies , nor fear to lose it,
Thy safety being motive.",0.5831,-0.984,-0.70891
king-lear,King Lear,main,1,1,1,50,speech,LEAR,LEAR,Out of my sight!,0.0,-0.99225,0.43942
king-lear,King Lear,main,1,1,1,51,speech,KENT,KENT,"See better, Lear, and let me still remain
The true blank of thine eye.",0.3182,-0.99736,-0.33425
king-lear,King Lear,main,1,1,1,52,speech,LEAR,LEAR,"Now, by Apollo—",-0.0516,0.99141,0.47573
king-lear,King Lear,main,1,1,1,53,speech,KENT,KENT,"Now, by Apollo, King,
Thou swear’st thy gods in vain.",-0.4588,-0.99854,-0.27098
king-lear,King Lear,main,1,1,1,54,speech,LEAR,LEAR,O vassal! Miscreant!,-0.6351,-0.98828,0.80099
king-lear,King Lear,main,1,1,1,55,speech,"ALBANY, CORNWALL",ALBANY CORNWALL,"Dear sir, forbear!",0.4574,-0.9988,0.60703
king-lear,King Lear,main,1,1,1,56,speech,KENT,KENT,"Do, kill thy physician, and the fee bestow
Upon thy foul disease. Revoke thy gift,
Or whilst I can vent clamor from my throat,
I’ll tell thee thou dost evil.",-0.8225,-0.99741,0.00311
king-lear,King Lear,main,1,1,1,57,speech,LEAR,LEAR,"Hear me, recreant! On thine allegiance hear me.
That thou hast sought to make us break our vows,
Which we durst never yet, and with strained pride
To come betwixt our sentence and our power,
Which nor our nature nor our place can bear,
Our potency made good, take thy reward:
Five days we do allot thee for provision
To shield thee from diseases of the world.
And on the sixth to turn thy hated back
Upon our kingdom. If on the next day following
Thy banished trunk be found in our dominions,
The moment is thy death. Away! By Jupiter,
This shall not be revoked.",-0.2481,-0.98893,-0.30043
king-lear,King Lear,main,1,1,1,58,speech,KENT,KENT,"Why, fare thee well, King. Sith thus thou wilt appear,
Freedom lives hence, and banishment is here.
[To CORDELIA]
The gods to their dear shelter take thee, maid,
That justly think’st and hast most rightly said!
[To REGAN and GONERIL]
And your large speeches may your deeds approve,
That good effects may spring from words of love.—
Thus Kent, O princes, bids you all adieu.
He’ll shape his old course in a country new.",0.9628,-0.99486,0.76197
king-lear,King Lear,main,1,1,1,59,stage_direction,,,Exit KENT,0.0,-0.99636,-0.01215
king-lear,King Lear,main,1,1,1,60,stage_direction,,,"Flourish. Enter GLOUCESTER with the King of FRANCE, the Duke of BURGUNDY, and attendants",0.34,0.98222,0.05622
king-lear,King Lear,main,1,1,1,61,speech,GLOUCESTER,GLOUCESTER,"Here’s France and Burgundy, my noble lord.",0.4588,0.98903,0.47992
king-lear,King Lear,main,1,1,1,62,speech,LEAR,LEAR,"My lord of Burgundy.
We first address towards you, who with this king
Hath rivaled for our daughter. What in the least
Will you require in present dower with her
Or cease your quest of love?",0.7783,-0.92356,0.2634
king-lear,King Lear,main,1,1,1,63,speech,BURGUNDY,BURGUNDY,"Most royal majesty,
I crave no more than hath your highness offered.
Nor will you tender less.",0.0772,0.99685,-0.00688
king-lear,King Lear,main,1,1,1,64,speech,LEAR,LEAR,"Right noble Burgundy,
When she was dear to us we did hold her so,
But now her price is fallen. Sir, there she stands.
If aught within that little seeming substance,
Or all of it, with our displeasure pieced
And nothing more, may fitly like your grace,
She’s there, and she is yours.",0.4497,-0.99405,-0.67187
king-lear,King Lear,main,1,1,1,65,speech,BURGUNDY,BURGUNDY,I know no answer.,0.0,-0.99884,-0.44086
king-lear,King Lear,main,1,1,1,66,speech,LEAR,LEAR,"Sir, will you, with those infirmities she owes—
Unfriended, new adopted to our hate,
Dowered with our curse and strangered with our oath—
Take her or leave her?",-0.7845,-0.96802,-0.77813
king-lear,King Lear,main,1,1,1,67,speech,BURGUNDY,BURGUNDY,"Pardon me, royal sir.
Election makes not up in such conditions.",0.2732,-0.99526,-0.80759
king-lear,King Lear,main,1,1,1,68,speech,LEAR,LEAR,"Then leave her, sir, for by the power that made me,
I tell you all her wealth.
[To FRANCE] For you, great King,
I would not from your love make such a stray
To match you where I hate. Therefore beseech you
T' avert your liking a more worthier way
Than on a wretch whom Nature is ashamed
Almost t' acknowledge hers.",0.2487,-0.99771,0.7112
king-lear,King Lear,main,1,1,1,69,speech,FRANCE,FRANCE,"This is most strange,
That she that even but now was your best object—
The argument of your praise, balm of your age,
Most best, most dearest— should in this trice of time
Commit a thing so monstrous to dismantle
So many folds of favor. Sure, her offense
Must be of such unnatural degree
That monsters it (or your fore-vouched affection
Fall into taint), which to believe of her
Must be a faith that reason without miracle
Could never plant in me.",0.9659,-0.99647,-0.56716
king-lear,King Lear,main,1,1,1,70,speech,CORDELIA,CORDELIA,"[To LEAR] I yet beseech your majesty,
If for I want that glib and oily art
To speak and purpose not— since what I well intend,
I’ll do ’t before I speak— that you make known
It is no vicious blot, murder, or foulness,
No unchaste action or dishonored step
That hath deprived me of your grace and favor,
But even for want of that for which I am richer:
A still-soliciting eye and such a tongue
As I am glad I have not, though not to have it
Hath lost me in your liking.",0.7172,0.98801,-0.67098
king-lear,King Lear,main,1,1,1,71,speech,LEAR,LEAR,"Go to, go to. Better thou
Hadst not been born than not t' have pleased me
better.",0.3612,-0.99893,0.19101
king-lear,King Lear,main,1,1,1,72,speech,FRANCE,FRANCE,"Is it no more but this—a tardiness in nature
Which often leaves the history unspoke
That it intends to do?— My lord of Burgundy,
What say you to the lady? Love’s not love
When it is mingled with regards that stands
Aloof from th' entire point. Will you have her?
She is herself a dowry.",0.7177,-0.99545,-0.59627
king-lear,King Lear,main,1,1,1,73,speech,BURGUNDY,BURGUNDY,"[To LEAR] Royal King,
Give but that portion which yourself proposed,
And here I take Cordelia by the hand,
Duchess of Burgundy.",0.0,0.94739,0.32904
king-lear,King Lear,main,1,1,1,74,speech,LEAR,LEAR,Nothing. I have sworn. I am firm.,0.0,0.9944,-0.36093
king-lear,King Lear,main,1,1,1,75,speech,BURGUNDY,BURGUNDY,"[To CORDELIA] I am sorry then. You have so lost a
father
That you must lose a husband.",-0.6369,-0.99698,-0.43603
king-lear,King Lear,main,1,1,1,76,speech,CORDELIA,CORDELIA,"Peace be with Burgundy.
Since that respects and fortunes are his love,
I shall not be his wife.",0.8271,-0.98153,0.24428
