play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
timon-of-athens,Timon of Athens,main,1,1,1,1,stage_direction,,,"Enter Poet, Painter, Jeweller, Merchant, and others, at several doors",0.0,0.0125
timon-of-athens,Timon of Athens,main,1,1,1,2,speech,POET,POET,"Good day, sir.",0.0,0.36847
timon-of-athens,Timon of Athens,main,1,1,1,3,speech,PAINTER,PAINTER,I am glad you're well.,0.4404,0.46285
timon-of-athens,Timon of Athens,main,1,1,1,4,speech,POET,POET,I have not seen you long: how goes the world?,0.0,-0.4235
timon-of-athens,Timon of Athens,main,1,1,1,5,speech,PAINTER,PAINTER,"It wears, sir, as it grows.",0.0,-0.00448
timon-of-athens,Timon of Athens,main,1,1,1,6,speech,POET,POET,"Ay, that's well known:
But what particular rarity? what strange,
Which manifold record not matches? See,
Magic of bounty! all these spirits thy power
Hath conjured to attend. I know the merchant.",0.9528,0.78672
timon-of-athens,Timon of Athens,main,1,1,1,7,speech,PAINTER,PAINTER,I know them both; th' other's a jeweller.,0.0,0.00985
timon-of-athens,Timon of Athens,main,1,1,1,8,speech,MERCHANT,MERCHANT,"O, 'tis a worthy lord.",0.4404,0.64836
timon-of-athens,Timon of Athens,main,1,1,1,9,speech,JEWELER,JEWELLER,"Nay, that's most fix'd.",0.4019,0.27851
timon-of-athens,Timon of Athens,main,1,1,1,10,speech,MERCHANT,MERCHANT,"A most incomparable man, breathed, as it were,
To an untirable and continuate goodness:
He passes.",-0.0026,0.78284
timon-of-athens,Timon of Athens,main,1,1,1,11,speech,JEWELER,JEWELLER,I have a jewel here—,0.3612,0.14906
timon-of-athens,Timon of Athens,main,1,1,1,12,speech,MERCHANT,MERCHANT,"O, pray, let's see't: for the Lord Timon, sir?",0.3182,-0.17741
timon-of-athens,Timon of Athens,main,1,1,1,13,speech,JEWELER,JEWELLER,"If he will touch the estimate: but, for that—",-0.0516,-0.23839
timon-of-athens,Timon of Athens,main,1,1,1,14,speech,POET,POET,"[Reciting to himself] 'When we for recompense have
praised the vile,
It stains the glory in that happy verse
Which aptly sings the good.'",0.6597,-0.57274
timon-of-athens,Timon of Athens,main,1,1,1,15,speech,MERCHANT,MERCHANT,'Tis a good form.,0.7506,0.43847
