play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
twelfth-night,Twelfth Night,main,1,1,1,1,stage_direction,,,"Enter ORSINO, CURIO, and other lords; Musicians playing",0.2023,0.989,0.234
twelfth-night,Twelfth Night,main,1,1,1,2,speech,ORSINO,ORSINO,"If music be the food of love, play on.
Give me excess of it that, surfeiting,
The appetite may sicken, and so die.
That strain again, it had a dying fall.
O, it came o'er my ear like the sweet sound,
That breathes upon a bank of violets,
Stealing and giving odor. Enough, no more.
'Tis not so sweet now as it was before.
O spirit of love, how quick and fresh art thou,
That, notwithstanding thy capacity
Receiveth as the sea, nought enters there,
Of what validity and pitch soe'er,
But falls into abatement and low price
Even in a minute. So full of shapes is fancy
That it alone is high fantastical.",0.9555,0.97844,-0.20079
twelfth-night,Twelfth Night,main,1,1,1,3,speech,CURIO,CURIO,"Will you go hunt, my lord?",0.0772,0.97422,-0.10138
twelfth-night,Twelfth Night,main,1,1,1,4,speech,ORSINO,ORSINO,"What, Curio?",0.0,-0.9962,-0.06082
twelfth-night,Twelfth Night,main,1,1,1,5,speech,CURIO,CURIO,The hart.,0.0,0.97261,-0.50647
twelfth-night,Twelfth Night,main,1,1,1,6,speech,ORSINO,ORSINO,"Why, so I do, the noblest that I have.
Oh, when mine eyes did see Olivia first,
Methought she purged the air of pestilence.
That instant was I turned into a hart,
And my desires, like fell and cruel hounds,
E'er since pursue me.",0.8126,0.99495,0.77275
twelfth-night,Twelfth Night,main,1,1,1,7,stage_direction,,,Enter VALENTINE,0.0,0.9924,0.01269
twelfth-night,Twelfth Night,main,1,1,1,8,speech,ORSINO,ORSINO,How now! What news from her?,0.0,-0.99532,-0.01859
twelfth-night,Twelfth Night,main,1,1,1,9,speech,VALENTINE,VALENTINE,"So please my lord, I might not be admitted,
But from her handmaid do return this answer:
The element itself, till seven years' heat,
Shall not behold her face at ample view,
But like a cloistress, she will veiled walk
And water once a day her chamber round
With eye-offending brine —all this to season
A brother’s dead love, which she would keep fresh
And lasting in her sad remembrance.",0.5499,-0.97607,0.66253
twelfth-night,Twelfth Night,main,1,1,1,10,speech,ORSINO,ORSINO,"O, she that hath a heart of that fine frame
To pay this debt of love but to a brother,
How will she love, when the rich golden shaft
Hath killed the flock of all affections else
That live in her, when liver, brain, and heart,
These sovereign thrones, are all supplied, and filled
Her sweet perfections with one self king!
Away before me to sweet beds of flowers.
Love thoughts lie rich when canopied with bowers.",0.9892,0.98716,0.85236
twelfth-night,Twelfth Night,main,1,1,1,11,stage_direction,,,Exeunt,0.0,-0.98496,0.12206
twelfth-night,Twelfth Night,main,1,2,2,12,stage_direction,,,"Enter VIOLA, a CAPTAIN, and sailors",0.0,0.97989,0.08189
twelfth-night,Twelfth Night,main,1,2,2,13,speech,VIOLA,VIOLA,"What country, friends, is this?",0.561,-0.99407,-0.05406
twelfth-night,Twelfth Night,main,1,2,2,14,speech,CAPTAIN,CAPTAIN,"This is Illyria, lady.",0.0,0.9841,0.53745
twelfth-night,Twelfth Night,main,1,2,2,15,speech,VIOLA,VIOLA,"And what should I do in Illyria?
My brother he is in Elysium.
Perchance he is not drown’d.—What think you, sailors?",0.8252,-0.97507,0.06494
twelfth-night,Twelfth Night,main,1,2,2,16,speech,CAPTAIN,CAPTAIN,It is perchance that you yourself were saved.,0.5859,-0.98321,-0.39349
twelfth-night,Twelfth Night,main,1,2,2,17,speech,VIOLA,VIOLA,"O, my poor brother! And so perchance may he be.",0.6643,-0.95751,-0.69912
twelfth-night,Twelfth Night,main,1,2,2,18,speech,CAPTAIN,CAPTAIN,"True, madam. And, to comfort you with chance,
Assure yourself, after our ship did split,
When you and those poor number saved with you
Hung on our driving boat, I saw your brother,
Most provident in peril, bind himself,
Courage and hope both teaching him the practice,
To a strong mast that lived upon the sea,
Where, like Arion on the dolphin’s back,
I saw him hold acquaintance with the waves
So long as I could see.",0.9501,0.99721,0.73868
twelfth-night,Twelfth Night,main,1,2,2,19,speech,VIOLA,VIOLA,"[giving him money]
For saying so, there’s gold.
Mine own escape unfoldeth to my hope,
Whereto thy speech serves for authority,
The like of him. Know’st thou this country?",0.8925,0.99655,0.668
twelfth-night,Twelfth Night,main,1,2,2,20,speech,CAPTAIN,CAPTAIN,"Ay, madam, well, for I was bred and born
Not three hours' travel from this very place.",0.4019,0.95811,0.3424
twelfth-night,Twelfth Night,main,1,2,2,21,speech,VIOLA,VIOLA,Who governs here?,0.0,-0.98205,-0.01319
twelfth-night,Twelfth Night,main,1,2,2,22,speech,CAPTAIN,CAPTAIN,"A noble duke, in nature
As in name.",0.4588,0.99706,0.01809
twelfth-night,Twelfth Night,main,1,2,2,23,speech,VIOLA,VIOLA,What is his name?,0.0,-0.91183,-0.03135
twelfth-night,Twelfth Night,main,1,2,2,24,speech,CAPTAIN,CAPTAIN,Orsino.,0.0,0.99239,0.01362
twelfth-night,Twelfth Night,main,1,2,2,25,speech,VIOLA,VIOLA,"Orsino. I have heard my father name him.
He was a bachelor then.",0.0,0.97587,0.09455
twelfth-night,Twelfth Night,main,1,2,2,26,speech,CAPTAIN,CAPTAIN,"And so is now, or was so very late.
For but a month ago I went from hence,
And then ’twas fresh in murmur —as, you know,
What great ones do the less will prattle of—
That he did seek the love of fair Olivia.",0.5267,0.98946,-0.46148
twelfth-night,Twelfth Night,main,1,2,2,27,speech,VIOLA,VIOLA,What’s she?,0.0,0.97242,-0.04304
twelfth-night,Twelfth Night,main,1,2,2,28,speech,CAPTAIN,CAPTAIN,"A virtuous maid, the daughter of a count
That died some twelvemonth since, then leaving her
In the protection of his son, her brother,
Who shortly also died, for whose dear love,
They say, she hath abjured the company
And sight of men.",0.1406,0.97993,-0.74567
twelfth-night,Twelfth Night,main,1,2,2,29,speech,VIOLA,VIOLA,"Oh, that I served that lady
And might not be delivered to the world,
Till I had made mine own occasion mellow,
What my estate is.",0.6369,0.99144,-0.47145
twelfth-night,Twelfth Night,main,1,2,2,30,speech,CAPTAIN,CAPTAIN,"That were hard to compass,
Because she will admit no kind of suit,
No, not the duke’s.",-0.2654,-0.99883,-0.53686
twelfth-night,Twelfth Night,main,1,2,2,31,speech,VIOLA,VIOLA,"There is a fair behavior in thee, captain,
And though that nature with a beauteous wall
Doth oft close in pollution, yet of thee
I will believe thou hast a mind that suits
With this thy fair and outward character.
I prithee—and I’ll pay thee bounteously—
Conceal me what I am, and be my aid
For such disguise as haply shall become
The form of my intent . I’ll serve this duke.
Thou shall present me as an eunuch to him.
It may be worth thy pains, for I can sing
And speak to him in many sorts of music
That will allow me very worth his service.
What else may hap to time I will commit.
Only shape thou thy silence to my wit.",0.9545,0.99482,0.52871
twelfth-night,Twelfth Night,main,1,2,2,32,speech,CAPTAIN,CAPTAIN,"Be you his eunuch, and your mute I’ll be.
When my tongue blabs, then let mine eyes not see.",-0.4019,-0.98427,-0.31232
twelfth-night,Twelfth Night,main,1,2,2,33,speech,VIOLA,VIOLA,I thank thee. Lead me on.,0.3612,0.99758,0.48061
twelfth-night,Twelfth Night,main,1,2,2,34,stage_direction,,,Exeunt,0.0,-0.98874,-0.13698
twelfth-night,Twelfth Night,main,1,3,3,35,stage_direction,,,Enter SIR TOBY BELCH and MARIA,0.0,0.98356,0.13443
twelfth-night,Twelfth Night,main,1,3,3,36,speech,SIR TOBY BELCH,SIR TOBY BELCH,"What a plague means my niece, to take the death of her
brother thus? I am sure care’s an enemy to life.",-0.041,-0.99365,-0.66388
twelfth-night,Twelfth Night,main,1,3,3,37,speech,MARIA,MARIA,"By my troth, Sir Toby, you must come in earlier o'
nights. Your cousin, my lady, takes great exceptions to
your ill hours.",0.4939,-0.99605,-0.39948
twelfth-night,Twelfth Night,main,1,3,3,38,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Why, let her except, before excepted.",0.2732,-0.99885,-0.56742
twelfth-night,Twelfth Night,main,1,3,3,39,speech,MARIA,MARIA,"Ay, but you must confine yourself within the modest
limits of order.",0.2144,0.98306,0.01718
twelfth-night,Twelfth Night,main,1,3,3,40,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Confine? I’ll confine myself no finer than I am. These
clothes are good enough to drink in, and so be these
boots too. An they be not, let them hang themselves in
their own straps.",0.4404,0.99623,0.24114
twelfth-night,Twelfth Night,main,1,3,3,41,speech,MARIA,MARIA,"That quaffing and drinking will undo you: I heard my
lady talk of it yesterday, and of a foolish knight that
you brought in one night here to be her wooer.",-0.4215,-0.99789,0.20573
twelfth-night,Twelfth Night,main,1,3,3,42,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Who, Sir Andrew Aguecheek?",0.0,-0.96257,-0.08156
twelfth-night,Twelfth Night,main,1,3,3,43,speech,MARIA,MARIA,"Ay, he.",0.4019,0.98904,0.41907
twelfth-night,Twelfth Night,main,1,3,3,44,speech,SIR TOBY BELCH,SIR TOBY BELCH,He’s as tall a man as any’s in Illyria.,0.5267,0.99715,0.3544
twelfth-night,Twelfth Night,main,1,3,3,45,speech,MARIA,MARIA,What’s that to the purpose?,0.0,-0.99801,-0.01712
twelfth-night,Twelfth Night,main,1,3,3,46,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Why, he has three thousand ducats a year.",0.2732,0.97161,-0.07488
twelfth-night,Twelfth Night,main,1,3,3,47,speech,MARIA,MARIA,"Ay, but he’ll have but a year in all these ducats. He’s
a very fool and a prodigal.",-0.6542,-0.99897,-0.84461
twelfth-night,Twelfth Night,main,1,3,3,48,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Fie, that you’ll say so! He plays o' the
viol-de-gamboys, and speaks three or four languages word
for word without book, and hath all the good gifts of
nature.",0.636,0.9961,0.49247
twelfth-night,Twelfth Night,main,1,3,3,49,speech,MARIA,MARIA,"He hath indeed, almost natural, for besides that he’s a
fool, he’s a great quarreler, and but that he hath the
gift of a coward to allay the gust he hath in
quarreling, ’tis thought among the prudent he would
quickly have the gift of a grave.",-0.7845,-0.95516,-0.40209
twelfth-night,Twelfth Night,main,1,3,3,50,speech,SIR TOBY BELCH,SIR TOBY BELCH,"By this hand, they are scoundrels and substractors that
say so of him. Who are they?",-0.3612,-0.99702,-0.03657
twelfth-night,Twelfth Night,main,1,3,3,51,speech,MARIA,MARIA,"They that add, moreover, he’s drunk nightly in your
company.",-0.34,-0.84945,-0.0159
twelfth-night,Twelfth Night,main,1,3,3,52,speech,SIR TOBY BELCH,SIR TOBY BELCH,"With drinking healths to my niece. I’ll drink to her as
long as there is a passage in my throat and drink in
Illyria. He’s a coward and a coistrel that will not
drink to my niece till his brains turn o' th' toe like a
parish top. What, wench! Castiliano vulgo , for here
comes Sir Andrew Agueface.",0.3489,-0.97587,-0.3918
twelfth-night,Twelfth Night,main,1,3,3,53,speech,SIR ANDREW,SIR ANDREW,"Sir Toby Belch! How now, Sir Toby Belch!",0.0,0.98932,0.6767
twelfth-night,Twelfth Night,main,1,3,3,54,speech,SIR TOBY BELCH,SIR TOBY BELCH,Sweet Sir Andrew!,0.4588,0.99685,0.32995
twelfth-night,Twelfth Night,main,1,3,3,55,speech,SIR ANDREW,SIR ANDREW,"[To MARIA] Bless you, fair shrew.",0.4939,0.99518,0.45583
twelfth-night,Twelfth Night,main,1,3,3,56,speech,MARIA,MARIA,"And you too, sir.",0.0,0.99652,0.58241
twelfth-night,Twelfth Night,main,1,3,3,57,speech,SIR TOBY BELCH,SIR TOBY BELCH,"Accost, Sir Andrew, accost.",0.0,-0.99581,0.3504
twelfth-night,Twelfth Night,main,1,3,3,58,speech,SIR ANDREW,SIR ANDREW,What’s that?,0.0,-0.98349,-0.06585
twelfth-night,Twelfth Night,main,1,3,3,59,speech,SIR TOBY BELCH,SIR TOBY BELCH,My niece’s chambermaid.,0.0,0.98857,0.53127
twelfth-night,Twelfth Night,main,1,3,3,60,speech,SIR ANDREW,SIR ANDREW,"Good Mistress Accost, I desire better acquaintance.",0.6369,0.99737,0.59227
twelfth-night,Twelfth Night,main,1,3,3,61,speech,MARIA,MARIA,"My name is Mary, sir.",0.0,0.95952,0.54666
twelfth-night,Twelfth Night,main,1,3,3,62,speech,SIR ANDREW,SIR ANDREW,Good Mistress Mary Accost—,0.3182,0.99327,0.64956
