play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,1,stage_direction,,,"Enter the DUKE, EGEON, JAILER, and other attendants",0.0,-0.98894,0.12572
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,2,speech,EGEON,EGEON,"Proceed, Solinus, to procure my fall,
And by the doom of death end woes and all.",-0.8074,-0.99044,-0.83883
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,3,speech,DUKE,DUKE,"Merchant of Syracuse, plead no more.
I am not partial to infringe our laws.
The enmity and discord which of late
Sprung from the rancorous outrage of your duke
To merchants, our well-dealing countrymen,
Who, wanting guilders to redeem their lives,
Have seal’d his rigorous statutes with their bloods,
Excludes all pity from our threatening looks.
For, since the mortal and intestine jars
'Twixt thy seditious countrymen and us,
It hath in solemn synods been decreed
Both by the Syracusians and ourselves,
To admit no traffic to our adverse towns.
Nay, more, if any born at Ephesus
Be seen at any Syracusian marts and fairs;
Again, if any Syracusian born
Come to the bay of Ephesus, he dies,
His goods confiscate to the Duke’s dispose,
Unless a thousand marks be levièd
To quit the penalty and to ransom him.
Thy substance, valued at the highest rate,
Cannot amount unto a hundred marks;
Therefore by law thou art condemned to die.",-0.9838,-0.97851,-0.50328
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,4,speech,EGEON,EGEON,"Yet this my comfort: when your words are done,
My woes end likewise with the evening sun.",-0.2263,-0.99365,-0.12649
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,5,speech,DUKE,DUKE,"Well, Syracusian, say in brief the cause
Why thou dep-artedst from thy native home
And for what cause thou camest to Ephesus.",0.2263,0.98256,0.51244
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,6,speech,EGEON,EGEON,"A heavier task could not have been imposed
Than I to speak my griefs unspeakable;
Yet, that the world may witness that my end
Was wrought by nature, not by vile offense,
I’ll utter what my sorrow gives me leave.
In Syracusa was I born, and wed
Unto a woman happy but for me,
And by me, had not our hap been bad.
With her I lived in joy. Our wealth increased
By prosperous voyages I often made
To Epidamnum, till my factor’s death
And the great care of goods at random left
Drew me from kind embracements of my spouse;
From whom my absence was not six months old
Before herself— almost at fainting under
The pleasing punishment that women bear—
Had made provision for her following me
And soon and safe arrivèd where I was.
There had she not been long but she became
A joyful mother of two goodly sons,
And, which was strange, the one so like the other
As could not be distinguished but by names.
That very hour, and in the selfsame inn,
A meaner woman was deliverèd
Of such a burden, male twins, both alike.
Those, for their parents were exceeding poor,
I bought and brought up to attend my sons.
My wife, not meanly proud of two such boys,
Made daily motions for our home return.
Unwilling, I agreed. Alas, too soon
We came aboard.
A league from Epidamnum had we sailed
Before the always-wind-obeying deep
Gave any tragic instance of our harm;
But longer did we not retain much hope;
For what obscured light the heavens did grant
Did but convey unto our fearful minds
A doubtful warrant of immediate death,
Which though myself would gladly have embraced,
Yet the incessant weepings of my wife,
Weeping before for what she saw must come,
And piteous plainings of the pretty babes,
That mourned for fashion, ignorant what to fear,
Forced me to seek delays for them and me.
And this it was, for other means was none:
The sailors sought for safety by our boat
And left the ship, then sinking-ripe, to us.
My wife, more careful for the latter-born,
Had fastened him unto a small spare mast,
Such as seafaring men provide for storms.
To him one of the other twins was bound,
Whilst I had been like heedful of the other.
The children thus disposed, my wife and I,
Fixing our eyes on whom our care was fixed,
Fastened ourselves at either end the mast
And, floating straight, obedient to the stream,
Was carried towards Corinth, as we thought.
At length the sun, gazing upon the earth,
Dispersed those vapors that offended us,
And by the benefit of his wished light
The seas waxed calm, and we discoverèd
Two ships from far, making amain to us,
Of Corinth that, of Epidaurus this.
But ere they came,— O, let me say no more!
Gather the sequel by that went before.",0.9503,0.97074,-0.37406
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,7,speech,DUKE,DUKE,"Nay, forward, old man. Do not break off so,
For we may pity though not pardon thee.",-0.3125,-0.98218,-0.70814
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,8,speech,EGEON,EGEON,"O, had the gods done so, I had not now
Worthily termed them merciless to us.
For, ere the ships could meet by twice five leagues,
We were encountered by a mighty rock,
Which being violently borne upon,
Our helpful ship was splitted in the midst;
So that, in this unjust divorce of us,
Fortune had left to both of us alike
What to delight in, what to sorrow for.
Her part, poor soul, seeming as burdenèd
With lesser weight, but not with lesser woe,
Was carried with more speed before the wind,
And in our sight they three were taken up
By fishermen of Corinth, as we thought.
At length, another ship had seized on us
And, knowing whom it was their hap to save,
Gave healthful welcome to their shipwracked guests,
And would have reft the fishers of their prey
Had not their bark been very slow of sail;
And therefore homeward did they bend their course.
Thus have you heard me severed from my bliss;
That by misfortunes was my life prolonged
To tell sad stories of my own mishaps.",0.8012,-0.9664,-0.68812
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,9,speech,DUKE,DUKE,"And for the sake of them thou sorrowest for,
Do me the favour to dilate at full
What hath befall'n of them and thee till now.",-0.1027,0.97003,0.35186
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,10,speech,EGEON,EGEON,"My youngest boy, and yet my eldest care,
At eighteen years became inquisitive
After his brother, and importuned me
That his attendant— so his case was like,
Reft of his brother, but retained his name—
Might bear him company in the quest of him,
Whom whilst I laboured of a love to see,
I hazarded the loss of whom I loved.
Five summers have I spent in farthest Greece,
Roaming clean through the bounds of Asia,
And, coasting homeward, came to Ephesus,
Hopeless to find, yet loath to leave unsought
Or that or any place that harbors men.
But here must end the story of my life;
And happy were I in my timely death
Could all my travels warrant me they live.",-0.2165,0.98357,0.22732
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,11,speech,DUKE,DUKE,"Hapless Egeon, whom the fates have marked
To bear the extremity of dire mishap,
Now, trust me, were it not against our laws,
Against my crown, my oath, my dignity,
Which princes, would they, may not disannul,
My soul would sue as advocate for thee.
But though thou art adjudgèd to the death,
And passèd sentence may not be recalled
But to our honour’s great disparagement,
Yet will I favor thee in what I can.
Therefore, merchant, I’ll limit thee this day
To seek thy life by beneficial help.
Try all the friends thou hast in Ephesus;
Beg thou, or borrow, to make up the sum,
And live. If no, then thou art doom’d to die.—
Jailer, take him to thy custody.",-0.4881,-0.93617,0.00717
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,12,speech,JAILER,JAILER,"I will, my lord.",0.0,0.97135,0.76891
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,13,speech,EGEON,EGEON,"Hopeless and helpless doth Egeon wend,
But to procrastinate his lifeless end.",-0.886,-0.99713,-0.38465
the-comedy-of-errors,The Comedy of Errors,main,1,1,1,14,stage_direction,,,Exeunt,0.0,-0.98887,-0.09736
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,15,stage_direction,,,"Enter ANTIPHOLUS OF SYRACUSE, DROMIO OF SYRACUSE, and FIRST MERCHANT",0.0,0.98682,0.07542
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,16,speech,FIRST MERCHANT,FIRST MERCHANT,"Therefore give out you are of Epidamnum,
Lest that your goods too soon be confiscate.
This very day a Syracusian merchant
Is apprehended for arrival here
And, not being able to buy out his life,
According to the statute of the town
Dies ere the weary sun set in the west.
There is your money that I had to keep.",-0.5864,-0.97087,-0.38165
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,17,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Go bear it to the Centaur, where we host,
And stay there, Dromio, till I come to thee.
Within this hour it will be dinnertime.
Till that, I’ll view the manners of the town,
Peruse the traders, gaze upon the buildings,
And then return and sleep within mine inn,
For with long travel I am stiff and weary.
Get thee away.",-0.4404,-0.98027,0.01904
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,18,speech,DROMIO OF SYRACUSE,DROMIO OF SYRACUSE,"Many a man would take you at your word
And go indeed, having so good a mean.",0.8225,0.93686,0.2608
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,19,stage_direction,,,Exit DROMIO OF SYRACUSE,0.0,-0.99361,0.00563
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,20,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"A trusty villain, sir, that very oft,
When I am dull with care and melancholy,
Lightens my humor with his merry jests.
What, will you walk with me about the town
And then go to my inn and dine with me?",0.2732,0.99742,0.46246
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,21,speech,FIRST MERCHANT,FIRST MERCHANT,"I am invited, sir, to certain merchants,
Of whom I hope to make much benefit.
I crave your pardon. Soon at five o'clock,
Please you, I’ll meet with you upon the mart
And afterward consort you till bedtime.
My present business calls me from you now.",0.9442,0.98328,0.01405
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,22,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Farewell till then. I will go lose myself
And wander up and down to view the city.",-0.3182,0.99566,-0.004
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,23,speech,FIRST MERCHANT,FIRST MERCHANT,"Sir, I commend you to your own content.",0.4404,0.99712,0.45192
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,24,stage_direction,,,Exit FIRST MERCHANT exits.,0.0,-0.99355,0.01698
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,25,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"He that commends me to mine own content
Commends me to the thing I cannot get.
I to the world am like a drop of water
That in the ocean seeks another drop,
Who, falling there to find his fellow forth,
Unseen, inquisitive, confounds himself.
So I, to find a mother and a brother,
In quest of them, unhappy, lose myself.",-0.6092,-0.99473,-0.76154
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,26,stage_direction,,,Enter DROMIO OF EPHESUS,0.0,0.96964,0.0137
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,27,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Here comes the almanac of my true date.—
What now? How chance thou art returned so soon?",0.0,-0.98575,0.16228
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,28,speech,DROMIO OF EPHESUS,DROMIO OF EPHESUS,"Returned so soon? Rather approach’d too late!
The capon burns; the pig falls from the spit;
The clock hath strucken twelve upon the bell;
My mistress made it one upon my cheek.
She is so hot because the meat is cold;
The meat is cold because you come not home;
You come not home because you have no stomach;
You have no stomach, having broke your fast;
But we that know what ’tis to fast and pray
Are penitent for your default today.",-0.7402,-0.9972,-0.88941
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,29,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Stop in your wind, sir. Tell me this, I pray:
Where have you left the money that I gave you?",0.0258,-0.99899,-0.11186
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,30,speech,DROMIO OF EPHESUS,DROMIO OF EPHESUS,"O, sixpence, that I had o' Wednesday last
To pay the saddler for my mistress' crupper?
The saddler had it, sir; I kept it not.",-0.1027,-0.99706,-0.72008
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,31,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"I am not in a sportive humor now.
Tell me, and dally not: where is the money?
We being strangers here, how dar’st thou trust
So great a charge from thine own custody?",-0.4812,-0.99894,-0.54323
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,32,speech,DROMIO OF EPHESUS,DROMIO OF EPHESUS,"I pray you, jest, sir, as you sit at dinner.
I from my mistress come to you in post;
If I return, I shall be post indeed,
For she will scour your fault upon my pate.
Methinks your maw, like mine, should be your clock,
And strike you home without a messenger.",0.743,-0.99029,-0.4532
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,33,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Come, Dromio, come, these jests are out of season.
Reserve them till a merrier hour than this.
Where is the gold I gave in charge to thee?",0.8885,-0.99876,-0.29971
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,34,speech,DROMIO OF EPHESUS,DROMIO OF EPHESUS,"To me, sir? Why, you gave no gold to me!",-0.3595,-0.99896,-0.58466
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,35,speech,ANTIPHOLUS OF SYRACUSE,ANTIPHOLUS OF SYRACUSE,"Come on, sir knave, have done your foolishness,
And tell me how thou hast disposed thy charge.",-0.5023,-0.99878,0.48934
the-comedy-of-errors,The Comedy of Errors,main,1,2,2,36,speech,DROMIO OF EPHESUS,DROMIO OF EPHESUS,"My charge was but to fetch you from the mart
Home to your house, the Phoenix, sir, to dinner.
My mistress and her sister stays for you.",0.0,-0.96381,-0.46782
