play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
the-tempest,The Tempest,main,1,1,1,1,stage_direction,,,Loud sounds of a storm with thunder and lightning. A ship’s MASTER and BOATSWAIN enter.,0.0,0.99359,0.06077
the-tempest,The Tempest,main,1,1,1,2,speech,MASTER,MASTER,Boatswain!,0.0,0.98449,0.57529
the-tempest,The Tempest,main,1,1,1,3,speech,BOATSWAIN,BOATSWAIN,"Here, master. What cheer?",0.0,0.97934,0.13728
the-tempest,The Tempest,main,1,1,1,4,speech,MASTER,MASTER,"Good, speak to th' mariners. Fall to ’t yarely, or we
run ourselves aground. Bestir, bestir.",0.4926,0.99694,0.46015
the-tempest,The Tempest,main,1,1,1,5,stage_direction,,,The MASTER exits.,0.0,-0.99033,0.01349
the-tempest,The Tempest,main,1,1,1,6,stage_direction,,,SAILORS enter.,0.0,0.96995,0.11918
the-tempest,The Tempest,main,1,1,1,7,speech,BOATSWAIN,BOATSWAIN,"Heigh, my hearts! Cheerly, cheerly, my hearts! Yare!
Yare!
Take in the topsail. Tend to th' master’s whistle.
Blow, till thou burst thy wind, if room enough!",0.8302,0.98902,0.78506
the-tempest,The Tempest,main,1,1,1,8,stage_direction,,,"ALONSO, SEBASTIAN, ANTONIO, FERDINAND, GONZALO, and others enter.",0.0,0.98984,0.06889
the-tempest,The Tempest,main,1,1,1,9,speech,ALONSO,ALONSO,"Good Boatswain, have care. Where’s the Master?
Play the men.",0.5848,0.99624,0.17774
the-tempest,The Tempest,main,1,1,1,10,speech,BOATSWAIN,BOATSWAIN,"I pray now, keep below.",0.3182,-0.99684,0.05447
the-tempest,The Tempest,main,1,1,1,11,speech,ANTONIO,ANTONIO,"Where is the Master, Boatswain?",0.0,-0.97457,-0.00173
the-tempest,The Tempest,main,1,1,1,12,speech,BOATSWAIN,BOATSWAIN,"Do you not hear him? You mar our labor. Keep your
cabins.
You do assist the storm.",0.296,-0.9989,0.11703
the-tempest,The Tempest,main,1,1,1,13,speech,GONZALO,GONZALO,"Nay, good, be patient.",0.7579,0.99401,0.57635
the-tempest,The Tempest,main,1,1,1,14,speech,BOATSWAIN,BOATSWAIN,"When the sea is. Hence! What cares these roarers for
the name of king? To cabin, silence! Trouble us not.",0.3147,-0.99864,0.62341
the-tempest,The Tempest,main,1,1,1,15,speech,GONZALO,GONZALO,"Good, yet remember whom thou hast aboard.",0.6369,0.99741,0.48759
the-tempest,The Tempest,main,1,1,1,16,speech,BOATSWAIN,BOATSWAIN,"None that I more love than myself. You are a councilor.
If you can command these elements to silence and work
the peace of the present, we will not hand a rope more.
Use your authority. If you cannot, give thanks you have
lived so long and make yourself ready in your cabin for
the mischance of the hour, if it so hap.— Cheerly, good
hearts!— Out of our way, I say.",-0.2481,0.65057,0.31223
the-tempest,The Tempest,main,1,1,1,17,stage_direction,,,The BOATSWAIN exits.,0.0,-0.99383,0.01449
the-tempest,The Tempest,main,1,1,1,18,speech,GONZALO,GONZALO,"I have great comfort from this fellow. Methinks he hath
no drowning mark upon him. His complexion is perfect
gallows. Stand fast, good Fate, to his hanging. Make the
rope of his destiny our cable, for our own doth little
advantage. If he be not born to be hanged, our case is
miserable.",0.9117,0.99516,-0.38406
the-tempest,The Tempest,main,1,1,1,19,stage_direction,,,GONZALO exits with the other men of the royal court.,0.0,0.93286,-0.00099
the-tempest,The Tempest,main,1,1,1,20,stage_direction,,,The BOATSWAIN enters.,0.0,0.97878,0.02799
the-tempest,The Tempest,main,1,1,1,21,speech,BOATSWAIN,BOATSWAIN,"Down with the topmast! Yare, lower, lower! Bring her to
try wi' th' main course.",-0.4912,0.9966,0.5891
the-tempest,The Tempest,main,1,1,1,22,stage_direction,,,A shout offstage.,0.0,-0.99306,-0.01087
the-tempest,The Tempest,main,1,1,1,23,speech,BOATSWAIN,BOATSWAIN,"A plague upon this howling! They are louder than the
weather or our office.",-0.7177,-0.99892,-0.77141
the-tempest,The Tempest,main,1,1,1,24,stage_direction,,,"SEBASTIAN, ANTONIO, and GONZALO enter.",0.0,0.98703,0.13165
