play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,1,stage_direction,,,"Enter BERTRAM, the COUNTESS of Rousillon, HELENA, and LAFEU, all in black",0.0,0.21189
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,2,speech,COUNTESS,COUNTESS,"In delivering my son from me, I bury a second husband.",-0.0258,-0.70591
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,3,speech,BERTRAM,BERTRAM,"And I in going, madam, weep o'er my father's death
anew: but I must attend his majesty's command, to
whom I am now in ward, evermore in subjection.",-0.5187,0.62368
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,4,speech,LAFEU,LAFEU,"You shall find of the king a husband, madam; you,
sir, a father: he that so generally is at all times
good must of necessity hold his virtue to you; whose
worthiness would stir it up where it wanted rather
than lack it where there is such abundance.",0.9463,0.6437
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,5,speech,COUNTESS,COUNTESS,What hope is there of his majesty's amendment?,0.0,-0.11521
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,6,speech,LAFEU,LAFEU,"He hath abandoned his physicians, madam; under whose
practises he hath persecuted time with hope, and
finds no other advantage in the process but only the
losing of hope by time.",-0.0,-0.58261
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,7,speech,COUNTESS,COUNTESS,"This young gentlewoman had a father, —O, that
'had'! how sad a passage 'tis! —whose skill was
almost as great as his honesty; had it stretched so
far, would have made nature immortal, and death
should have play for lack of work. Would, for the
king's sake, he were living! I think it would be
the death of the king's disease.",-0.6784,-0.07818
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,8,speech,LAFEU,LAFEU,"How called you the man you speak of, madam?",0.0,-0.01807
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,9,speech,COUNTESS,COUNTESS,"He was famous, sir, in his profession, and it was
his great right to be so: Gerard de Narbon.",0.4877,0.6766
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,10,speech,LAFEU,LAFEU,"He was excellent indeed, madam: the king very
lately spoke of him admiringly and mourningly: he
was skilful enough to have lived still, if knowledge
could be set up against mortality.",0.8442,0.56325
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,11,speech,BERTRAM,BERTRAM,"What is it, my good lord, the king languishes of?",0.4404,-0.20054
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,12,speech,LAFEU,LAFEU,"A fistula, my lord.",0.0,0.65441
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,13,speech,BERTRAM,BERTRAM,I heard not of it before.,0.0,-0.40486
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,14,speech,LAFEU,LAFEU,"I would it were not notorious. Was this gentlewoman
the daughter of Gerard de Narbon?",0.0,-0.49677
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,15,speech,COUNTESS,COUNTESS,"His sole child, my lord, and bequeathed to my
overlooking. I have those hopes of her good that
her education promises; her dispositions she
inherits, which makes fair gifts fairer; for where
an unclean mind carries virtuous qualities, there
commendations go with pity; they are virtues and
traitors too; in her they are the better for their
simpleness; she derives her honesty and achieves her
goodness.",0.9738,0.75242
